block	round	hides	s1	s3
12	1	[ 9  5 12 23  8 15]	20	23
12	2	[ 9  5 12 23  8 15]	22	8
12	3	[ 9  5 12 23  8 15]	16	8
12	4	[ 9  5 12 23  8 15]	15	5
12	5	[ 9  5 12 23  8 15]	12	23
12	6	[ 9  5 12 23  8 15]	12	15
12	7	[ 9  5 12 23  8 15]	21	9
12	8	[ 9  5 12 23  8 15]	15	9
12	9	[ 9  5 12 23  8 15]	1	9
12	10	[ 9  5 12 23  8 15]	14	5
13	1	[12  3 20 14 13 23]	15	23
13	2	[12  3 20 14 13 23]	4	12
13	3	[12  3 20 14 13 23]	14	3
13	4	[12  3 20 14 13 23]	5	13
13	5	[12  3 20 14 13 23]	7	12
13	6	[12  3 20 14 13 23]	12	23
13	7	[12  3 20 14 13 23]	19	3
13	8	[12  3 20 14 13 23]	11	3
13	9	[12  3 20 14 13 23]	5	12
13	10	[12  3 20 14 13 23]	19	14
14	1	[ 9 11  0 12 21 16]	22	9
14	2	[ 9 11  0 12 21 16]	16	21
14	3	[ 9 11  0 12 21 16]	18	0
14	4	[ 9 11  0 12 21 16]	9	11
14	5	[ 9 11  0 12 21 16]	24	0
14	6	[ 9 11  0 12 21 16]	20	16
14	7	[ 9 11  0 12 21 16]	9	12
14	8	[ 9 11  0 12 21 16]	1	9
14	9	[ 9 11  0 12 21 16]	22	9
14	10	[ 9 11  0 12 21 16]	12	21
15	1	[ 7 10 12 13 15  6]	9	13
15	2	[ 7 10 12 13 15  6]	8	10
15	3	[ 7 10 12 13 15  6]	23	6
15	4	[ 7 10 12 13 15  6]	10	13
15	5	[ 7 10 12 13 15  6]	4	12
15	6	[ 7 10 12 13 15  6]	17	12
15	7	[ 7 10 12 13 15  6]	21	10
15	8	[ 7 10 12 13 15  6]	4	12
15	9	[ 7 10 12 13 15  6]	15	10
15	10	[ 7 10 12 13 15  6]	4	13
16	1	[17 10 13 15  4 20]	13	17
16	2	[17 10 13 15  4 20]	13	17
16	3	[17 10 13 15  4 20]	17	20
16	4	[17 10 13 15  4 20]	15	13
16	5	[17 10 13 15  4 20]	4	17
16	6	[17 10 13 15  4 20]	11	17
16	7	[17 10 13 15  4 20]	16	13
16	8	[17 10 13 15  4 20]	0	15
16	9	[17 10 13 15  4 20]	16	10
16	10	[17 10 13 15  4 20]	2	17
17	1	[ 2 12  3 14 16 18]	18	3
17	2	[ 2 12  3 14 16 18]	19	12
17	3	[ 2 12  3 14 16 18]	15	14
17	4	[ 2 12  3 14 16 18]	13	18
17	5	[ 2 12  3 14 16 18]	20	18
17	6	[ 2 12  3 14 16 18]	4	12
17	7	[ 2 12  3 14 16 18]	14	2
17	8	[ 2 12  3 14 16 18]	24	14
17	9	[ 2 12  3 14 16 18]	0	16
17	10	[ 2 12  3 14 16 18]	20	16
18	1	[16  1 21  5 15 13]	24	15
18	2	[16  1 21  5 15 13]	1	21
18	3	[16  1 21  5 15 13]	10	1
18	4	[16  1 21  5 15 13]	17	13
18	5	[16  1 21  5 15 13]	16	1
18	6	[16  1 21  5 15 13]	22	13
18	7	[16  1 21  5 15 13]	14	16
18	8	[16  1 21  5 15 13]	6	5
18	9	[16  1 21  5 15 13]	7	21
18	10	[16  1 21  5 15 13]	14	5
19	1	[ 4 16 21  1  7 13]	23	7
19	2	[ 4 16 21  1  7 13]	23	7
19	3	[ 4 16 21  1  7 13]	24	7
19	4	[ 4 16 21  1  7 13]	9	4
19	5	[ 4 16 21  1  7 13]	18	4
19	6	[ 4 16 21  1  7 13]	24	7
19	7	[ 4 16 21  1  7 13]	4	1
19	8	[ 4 16 21  1  7 13]	10	13
19	9	[ 4 16 21  1  7 13]	3	13
19	10	[ 4 16 21  1  7 13]	2	4
20	1	[ 6 22  5  7  3  4]	22	6
20	2	[ 6 22  5  7  3  4]	9	4
20	3	[ 6 22  5  7  3  4]	20	6
20	4	[ 6 22  5  7  3  4]	11	3
20	5	[ 6 22  5  7  3  4]	2	5
20	6	[ 6 22  5  7  3  4]	9	6
20	7	[ 6 22  5  7  3  4]	6	22
20	8	[ 6 22  5  7  3  4]	20	3
20	9	[ 6 22  5  7  3  4]	14	5
20	10	[ 6 22  5  7  3  4]	17	7
21	1	[ 6 23 19  5 15  3]	9	19
21	2	[ 6 23 19  5 15  3]	17	6
21	3	[ 6 23 19  5 15  3]	7	23
21	4	[ 6 23 19  5 15  3]	12	6
21	5	[ 6 23 19  5 15  3]	6	5
21	6	[ 6 23 19  5 15  3]	24	6
21	7	[ 6 23 19  5 15  3]	13	6
21	8	[ 6 23 19  5 15  3]	16	6
21	9	[ 6 23 19  5 15  3]	3	5
21	10	[ 6 23 19  5 15  3]	10	23
22	1	[11  8 10 12 23  2]	17	12
22	2	[11  8 10 12 23  2]	13	8
22	3	[11  8 10 12 23  2]	1	11
22	4	[11  8 10 12 23  2]	19	2
22	5	[11  8 10 12 23  2]	21	11
22	6	[11  8 10 12 23  2]	24	11
22	7	[11  8 10 12 23  2]	12	10
22	8	[11  8 10 12 23  2]	20	12
22	9	[11  8 10 12 23  2]	22	12
22	10	[11  8 10 12 23  2]	0	12
23	1	[23  7 17 21 22 10]	23	21
23	2	[23  7 17 21 22 10]	2	22
23	3	[23  7 17 21 22 10]	20	21
23	4	[23  7 17 21 22 10]	13	23
23	5	[23  7 17 21 22 10]	24	17
23	6	[23  7 17 21 22 10]	12	22
23	7	[23  7 17 21 22 10]	16	23
23	8	[23  7 17 21 22 10]	7	17
23	9	[23  7 17 21 22 10]	24	7
23	10	[23  7 17 21 22 10]	2	7
24	1	[11  9  5 13 14  4]	4	14
24	2	[11  9  5 13 14  4]	19	11
24	3	[11  9  5 13 14  4]	11	4
24	4	[11  9  5 13 14  4]	18	14
24	5	[11  9  5 13 14  4]	12	5
24	6	[11  9  5 13 14  4]	24	4
24	7	[11  9  5 13 14  4]	18	5
24	8	[11  9  5 13 14  4]	8	11
24	9	[11  9  5 13 14  4]	16	9
24	10	[11  9  5 13 14  4]	14	5
25	1	[21 24 23 11 19  0]	4	11
25	2	[21 24 23 11 19  0]	21	23
25	3	[21 24 23 11 19  0]	15	23
25	4	[21 24 23 11 19  0]	7	0
25	5	[21 24 23 11 19  0]	11	19
25	6	[21 24 23 11 19  0]	20	21
25	7	[21 24 23 11 19  0]	13	23
25	8	[21 24 23 11 19  0]	8	19
25	9	[21 24 23 11 19  0]	0	11
25	10	[21 24 23 11 19  0]	24	0
26	1	[23  4 15  3  0  7]	23	0
26	2	[23  4 15  3  0  7]	5	15
26	3	[23  4 15  3  0  7]	20	0
26	4	[23  4 15  3  0  7]	4	0
26	5	[23  4 15  3  0  7]	24	3
26	6	[23  4 15  3  0  7]	17	23
26	7	[23  4 15  3  0  7]	7	0
26	8	[23  4 15  3  0  7]	8	0
26	9	[23  4 15  3  0  7]	10	4
26	10	[23  4 15  3  0  7]	0	4
27	1	[17  4 10  5  0  6]	7	10
27	2	[17  4 10  5  0  6]	18	0
27	3	[17  4 10  5  0  6]	24	0
27	4	[17  4 10  5  0  6]	13	17
27	5	[17  4 10  5  0  6]	3	10
27	6	[17  4 10  5  0  6]	3	6
27	7	[17  4 10  5  0  6]	12	5
27	8	[17  4 10  5  0  6]	6	5
27	9	[17  4 10  5  0  6]	13	10
27	10	[17  4 10  5  0  6]	13	0
28	1	[ 6  1 18 19 16 12]	5	16
28	2	[ 6  1 18 19 16 12]	13	12
28	3	[ 6  1 18 19 16 12]	1	12
28	4	[ 6  1 18 19 16 12]	22	12
28	5	[ 6  1 18 19 16 12]	6	12
28	6	[ 6  1 18 19 16 12]	6	16
28	7	[ 6  1 18 19 16 12]	13	19
28	8	[ 6  1 18 19 16 12]	13	6
28	9	[ 6  1 18 19 16 12]	10	18
28	10	[ 6  1 18 19 16 12]	24	16
29	1	[ 5  3 20  7  6 12]	13	3
29	2	[ 5  3 20  7  6 12]	16	12
29	3	[ 5  3 20  7  6 12]	15	5
29	4	[ 5  3 20  7  6 12]	9	3
29	5	[ 5  3 20  7  6 12]	23	5
29	6	[ 5  3 20  7  6 12]	18	20
29	7	[ 5  3 20  7  6 12]	16	12
29	8	[ 5  3 20  7  6 12]	14	20
29	9	[ 5  3 20  7  6 12]	5	12
29	10	[ 5  3 20  7  6 12]	17	20
30	1	[ 8  5  0 14 20  9]	17	5
30	2	[ 8  5  0 14 20  9]	12	5
30	3	[ 8  5  0 14 20  9]	2	9
30	4	[ 8  5  0 14 20  9]	8	5
30	5	[ 8  5  0 14 20  9]	9	5
30	6	[ 8  5  0 14 20  9]	0	9
30	7	[ 8  5  0 14 20  9]	18	9
30	8	[ 8  5  0 14 20  9]	17	14
30	9	[ 8  5  0 14 20  9]	12	20
30	10	[ 8  5  0 14 20  9]	17	9
31	1	[ 5 22 12  9 23 11]	1	12
31	2	[ 5 22 12  9 23 11]	6	12
31	3	[ 5 22 12  9 23 11]	5	11
31	4	[ 5 22 12  9 23 11]	13	12
31	5	[ 5 22 12  9 23 11]	23	11
31	6	[ 5 22 12  9 23 11]	8	12
31	7	[ 5 22 12  9 23 11]	9	23
31	8	[ 5 22 12  9 23 11]	4	9
31	9	[ 5 22 12  9 23 11]	12	9
31	10	[ 5 22 12  9 23 11]	7	11
32	1	[17  0  4  2  9 16]	14	9
32	2	[17  0  4  2  9 16]	5	4
32	3	[17  0  4  2  9 16]	3	4
32	4	[17  0  4  2  9 16]	21	0
32	5	[17  0  4  2  9 16]	13	4
32	6	[17  0  4  2  9 16]	5	17
32	7	[17  0  4  2  9 16]	22	4
32	8	[17  0  4  2  9 16]	7	9
32	9	[17  0  4  2  9 16]	2	0
32	10	[17  0  4  2  9 16]	16	4
33	1	[16 21 14  7 24 22]	1	22
33	2	[16 21 14  7 24 22]	16	21
33	3	[16 21 14  7 24 22]	13	24
33	4	[16 21 14  7 24 22]	16	24
33	5	[16 21 14  7 24 22]	19	7
33	6	[16 21 14  7 24 22]	3	22
33	7	[16 21 14  7 24 22]	2	22
33	8	[16 21 14  7 24 22]	4	24
33	9	[16 21 14  7 24 22]	16	22
33	10	[16 21 14  7 24 22]	9	21
34	1	[21 19 10 15  1  3]	4	21
34	2	[21 19 10 15  1  3]	12	15
34	3	[21 19 10 15  1  3]	15	19
34	4	[21 19 10 15  1  3]	19	21
34	5	[21 19 10 15  1  3]	9	21
34	6	[21 19 10 15  1  3]	18	21
34	7	[21 19 10 15  1  3]	15	10
34	8	[21 19 10 15  1  3]	12	1
34	9	[21 19 10 15  1  3]	10	1
34	10	[21 19 10 15  1  3]	1	21
35	1	[21 13 12  8 17 14]	13	17
35	2	[21 13 12  8 17 14]	8	14
35	3	[21 13 12  8 17 14]	18	21
35	4	[21 13 12  8 17 14]	1	13
35	5	[21 13 12  8 17 14]	6	12
35	6	[21 13 12  8 17 14]	23	14
35	7	[21 13 12  8 17 14]	17	13
35	8	[21 13 12  8 17 14]	13	14
35	9	[21 13 12  8 17 14]	11	14
35	10	[21 13 12  8 17 14]	0	12
36	1	[ 2 15 13 10  9 21]	5	13
36	2	[ 2 15 13 10  9 21]	7	9
36	3	[ 2 15 13 10  9 21]	16	13
36	4	[ 2 15 13 10  9 21]	21	10
36	5	[ 2 15 13 10  9 21]	11	21
36	6	[ 2 15 13 10  9 21]	24	13
36	7	[ 2 15 13 10  9 21]	0	9
36	8	[ 2 15 13 10  9 21]	21	15
36	9	[ 2 15 13 10  9 21]	13	2
36	10	[ 2 15 13 10  9 21]	16	10
37	1	[ 9 10 20 21  7 12]	17	9
37	2	[ 9 10 20 21  7 12]	4	9
37	3	[ 9 10 20 21  7 12]	18	12
37	4	[ 9 10 20 21  7 12]	16	9
37	5	[ 9 10 20 21  7 12]	18	12
37	6	[ 9 10 20 21  7 12]	10	7
37	7	[ 9 10 20 21  7 12]	0	20
37	8	[ 9 10 20 21  7 12]	8	12
37	9	[ 9 10 20 21  7 12]	4	10
37	10	[ 9 10 20 21  7 12]	19	10
38	1	[23 24 15  7  8 19]	1	24
38	2	[23 24 15  7  8 19]	2	15
38	3	[23 24 15  7  8 19]	7	19
38	4	[23 24 15  7  8 19]	17	23
38	5	[23 24 15  7  8 19]	19	24
38	6	[23 24 15  7  8 19]	12	24
38	7	[23 24 15  7  8 19]	14	24
38	8	[23 24 15  7  8 19]	22	8
38	9	[23 24 15  7  8 19]	18	23
38	10	[23 24 15  7  8 19]	17	15
39	1	[ 4 21 24  0  1 22]	16	1
39	2	[ 4 21 24  0  1 22]	24	1
39	3	[ 4 21 24  0  1 22]	6	21
39	4	[ 4 21 24  0  1 22]	0	22
39	5	[ 4 21 24  0  1 22]	10	1
39	6	[ 4 21 24  0  1 22]	4	1
39	7	[ 4 21 24  0  1 22]	9	22
39	8	[ 4 21 24  0  1 22]	22	24
39	9	[ 4 21 24  0  1 22]	8	24
39	10	[ 4 21 24  0  1 22]	10	4
40	1	[ 0 17 20  4  3 11]	18	20
40	2	[ 0 17 20  4  3 11]	4	17
40	3	[ 0 17 20  4  3 11]	5	20
40	4	[ 0 17 20  4  3 11]	5	0
40	5	[ 0 17 20  4  3 11]	14	17
40	6	[ 0 17 20  4  3 11]	6	0
40	7	[ 0 17 20  4  3 11]	7	17
40	8	[ 0 17 20  4  3 11]	6	17
40	9	[ 0 17 20  4  3 11]	8	11
40	10	[ 0 17 20  4  3 11]	19	11
41	1	[ 0 22  2 17 20  8]	23	20
41	2	[ 0 22  2 17 20  8]	6	22
41	3	[ 0 22  2 17 20  8]	9	17
41	4	[ 0 22  2 17 20  8]	21	0
41	5	[ 0 22  2 17 20  8]	16	20
41	6	[ 0 22  2 17 20  8]	22	8
41	7	[ 0 22  2 17 20  8]	4	2
41	8	[ 0 22  2 17 20  8]	3	20
41	9	[ 0 22  2 17 20  8]	22	20
41	10	[ 0 22  2 17 20  8]	18	2
42	1	[ 6 10  0 14 18  7]	21	10
42	2	[ 6 10  0 14 18  7]	4	14
42	3	[ 6 10  0 14 18  7]	1	14
42	4	[ 6 10  0 14 18  7]	21	14
42	5	[ 6 10  0 14 18  7]	19	7
42	6	[ 6 10  0 14 18  7]	0	14
42	7	[ 6 10  0 14 18  7]	15	0
42	8	[ 6 10  0 14 18  7]	15	7
42	9	[ 6 10  0 14 18  7]	3	14
42	10	[ 6 10  0 14 18  7]	13	10
43	1	[ 5 21 24  1  8 15]	24	1
43	2	[ 5 21 24  1  8 15]	0	15
43	3	[ 5 21 24  1  8 15]	6	21
43	4	[ 5 21 24  1  8 15]	7	24
43	5	[ 5 21 24  1  8 15]	12	24
43	6	[ 5 21 24  1  8 15]	13	24
43	7	[ 5 21 24  1  8 15]	21	5
43	8	[ 5 21 24  1  8 15]	13	15
43	9	[ 5 21 24  1  8 15]	0	1
43	10	[ 5 21 24  1  8 15]	20	24
44	1	[ 7  2 24 22 13 10]	2	13
44	2	[ 7  2 24 22 13 10]	3	10
44	3	[ 7  2 24 22 13 10]	14	10
44	4	[ 7  2 24 22 13 10]	15	10
44	5	[ 7  2 24 22 13 10]	0	13
44	6	[ 7  2 24 22 13 10]	21	22
44	7	[ 7  2 24 22 13 10]	5	13
44	8	[ 7  2 24 22 13 10]	11	10
44	9	[ 7  2 24 22 13 10]	16	13
44	10	[ 7  2 24 22 13 10]	2	24
45	1	[ 9 15  4 22 16 18]	19	9
45	2	[ 9 15  4 22 16 18]	24	9
45	3	[ 9 15  4 22 16 18]	22	9
45	4	[ 9 15  4 22 16 18]	20	18
45	5	[ 9 15  4 22 16 18]	10	16
45	6	[ 9 15  4 22 16 18]	1	18
45	7	[ 9 15  4 22 16 18]	22	16
45	8	[ 9 15  4 22 16 18]	13	4
45	9	[ 9 15  4 22 16 18]	3	9
45	10	[ 9 15  4 22 16 18]	17	15
46	1	[ 9 14 15  7  5 20]	18	5
46	2	[ 9 14 15  7  5 20]	22	7
46	3	[ 9 14 15  7  5 20]	18	9
46	4	[ 9 14 15  7  5 20]	2	7
46	5	[ 9 14 15  7  5 20]	4	7
46	6	[ 9 14 15  7  5 20]	9	15
46	7	[ 9 14 15  7  5 20]	16	5
46	8	[ 9 14 15  7  5 20]	18	9
46	9	[ 9 14 15  7  5 20]	10	14
46	10	[ 9 14 15  7  5 20]	9	5
47	1	[10 20 18 15 11 19]	18	11
47	2	[10 20 18 15 11 19]	21	10
47	3	[10 20 18 15 11 19]	0	15
47	4	[10 20 18 15 11 19]	5	11
47	5	[10 20 18 15 11 19]	16	19
47	6	[10 20 18 15 11 19]	19	20
47	7	[10 20 18 15 11 19]	17	18
47	8	[10 20 18 15 11 19]	4	18
47	9	[10 20 18 15 11 19]	2	10
47	10	[10 20 18 15 11 19]	17	19
48	1	[ 9 24 20 12 18  3]	13	24
48	2	[ 9 24 20 12 18  3]	6	24
48	3	[ 9 24 20 12 18  3]	0	24
48	4	[ 9 24 20 12 18  3]	2	9
48	5	[ 9 24 20 12 18  3]	8	12
48	6	[ 9 24 20 12 18  3]	1	12
48	7	[ 9 24 20 12 18  3]	18	24
48	8	[ 9 24 20 12 18  3]	2	18
48	9	[ 9 24 20 12 18  3]	20	24
48	10	[ 9 24 20 12 18  3]	14	18
49	1	[ 8 15  1 23 12 19]	18	12
49	2	[ 8 15  1 23 12 19]	4	23
49	3	[ 8 15  1 23 12 19]	14	8
49	4	[ 8 15  1 23 12 19]	6	12
49	5	[ 8 15  1 23 12 19]	2	12
49	6	[ 8 15  1 23 12 19]	24	23
49	7	[ 8 15  1 23 12 19]	16	8
49	8	[ 8 15  1 23 12 19]	4	23
49	9	[ 8 15  1 23 12 19]	7	1
49	10	[ 8 15  1 23 12 19]	13	12
50	1	[ 7 21 22 15 23 24]	20	7
50	2	[ 7 21 22 15 23 24]	2	7
50	3	[ 7 21 22 15 23 24]	24	21
50	4	[ 7 21 22 15 23 24]	15	21
50	5	[ 7 21 22 15 23 24]	10	23
50	6	[ 7 21 22 15 23 24]	13	23
50	7	[ 7 21 22 15 23 24]	3	7
50	8	[ 7 21 22 15 23 24]	24	7
50	9	[ 7 21 22 15 23 24]	19	21
50	10	[ 7 21 22 15 23 24]	7	23
51	1	[23 24 16  0  4 21]	19	23
51	2	[23 24 16  0  4 21]	5	16
51	3	[23 24 16  0  4 21]	10	24
51	4	[23 24 16  0  4 21]	8	23
51	5	[23 24 16  0  4 21]	6	21
51	6	[23 24 16  0  4 21]	16	0
51	7	[23 24 16  0  4 21]	22	0
51	8	[23 24 16  0  4 21]	0	24
51	9	[23 24 16  0  4 21]	5	23
51	10	[23 24 16  0  4 21]	3	16
52	1	[ 8 15 18 22 19 10]	21	10
52	2	[ 8 15 18 22 19 10]	12	8
52	3	[ 8 15 18 22 19 10]	0	19
52	4	[ 8 15 18 22 19 10]	0	15
52	5	[ 8 15 18 22 19 10]	20	15
52	6	[ 8 15 18 22 19 10]	17	18
52	7	[ 8 15 18 22 19 10]	10	18
52	8	[ 8 15 18 22 19 10]	19	8
52	9	[ 8 15 18 22 19 10]	18	8
52	10	[ 8 15 18 22 19 10]	21	18
53	1	[17 14  2  8  1 15]	20	14
53	2	[17 14  2  8  1 15]	15	1
53	3	[17 14  2  8  1 15]	9	1
53	4	[17 14  2  8  1 15]	2	17
53	5	[17 14  2  8  1 15]	6	8
53	6	[17 14  2  8  1 15]	17	1
53	7	[17 14  2  8  1 15]	5	2
53	8	[17 14  2  8  1 15]	2	1
53	9	[17 14  2  8  1 15]	11	8
53	10	[17 14  2  8  1 15]	6	14
54	1	[23  9 21 20 24 16]	13	24
54	2	[23  9 21 20 24 16]	13	21
54	3	[23  9 21 20 24 16]	6	23
54	4	[23  9 21 20 24 16]	4	20
54	5	[23  9 21 20 24 16]	4	20
54	6	[23  9 21 20 24 16]	1	16
54	7	[23  9 21 20 24 16]	20	9
54	8	[23  9 21 20 24 16]	16	21
54	9	[23  9 21 20 24 16]	21	20
54	10	[23  9 21 20 24 16]	9	20
55	1	[14  5 12 20  4 18]	10	5
55	2	[14  5 12 20  4 18]	16	14
55	3	[14  5 12 20  4 18]	13	5
55	4	[14  5 12 20  4 18]	15	14
55	5	[14  5 12 20  4 18]	5	12
55	6	[14  5 12 20  4 18]	13	20
55	7	[14  5 12 20  4 18]	14	20
55	8	[14  5 12 20  4 18]	1	14
55	9	[14  5 12 20  4 18]	24	18
55	10	[14  5 12 20  4 18]	24	14
56	1	[ 4 23 18 17 22  8]	14	18
56	2	[ 4 23 18 17 22  8]	5	22
56	3	[ 4 23 18 17 22  8]	5	22
56	4	[ 4 23 18 17 22  8]	7	8
56	5	[ 4 23 18 17 22  8]	18	17
56	6	[ 4 23 18 17 22  8]	23	4
56	7	[ 4 23 18 17 22  8]	5	22
56	8	[ 4 23 18 17 22  8]	2	4
56	9	[ 4 23 18 17 22  8]	19	17
56	10	[ 4 23 18 17 22  8]	8	18
57	1	[ 0 17  7 13 22 16]	5	0
57	2	[ 0 17  7 13 22 16]	20	13
57	3	[ 0 17  7 13 22 16]	20	16
57	4	[ 0 17  7 13 22 16]	7	16
57	5	[ 0 17  7 13 22 16]	16	0
57	6	[ 0 17  7 13 22 16]	19	16
57	7	[ 0 17  7 13 22 16]	21	22
57	8	[ 0 17  7 13 22 16]	8	17
57	9	[ 0 17  7 13 22 16]	19	13
57	10	[ 0 17  7 13 22 16]	23	17
58	1	[ 1 11  8 16 13 14]	5	13
58	2	[ 1 11  8 16 13 14]	23	11
58	3	[ 1 11  8 16 13 14]	21	8
58	4	[ 1 11  8 16 13 14]	1	8
58	5	[ 1 11  8 16 13 14]	7	14
58	6	[ 1 11  8 16 13 14]	20	11
58	7	[ 1 11  8 16 13 14]	9	13
58	8	[ 1 11  8 16 13 14]	4	14
58	9	[ 1 11  8 16 13 14]	9	13
58	10	[ 1 11  8 16 13 14]	5	8
59	1	[15  2  6  9 17 12]	4	15
59	2	[15  2  6  9 17 12]	17	2
59	3	[15  2  6  9 17 12]	7	6
59	4	[15  2  6  9 17 12]	7	15
59	5	[15  2  6  9 17 12]	15	12
59	6	[15  2  6  9 17 12]	5	15
59	7	[15  2  6  9 17 12]	2	6
59	8	[15  2  6  9 17 12]	6	2
59	9	[15  2  6  9 17 12]	9	6
59	10	[15  2  6  9 17 12]	20	12
60	1	[ 2 21 12  5 17 10]	18	12
60	2	[ 2 21 12  5 17 10]	14	10
60	3	[ 2 21 12  5 17 10]	20	12
60	4	[ 2 21 12  5 17 10]	7	17
60	5	[ 2 21 12  5 17 10]	10	5
