block	round	hides	s1	s3
5	6	[ 9  3  0 10 18 19]	5	10
5	7	[ 9  3  0 10 18 19]	19	10
5	8	[ 9  3  0 10 18 19]	13	19
5	9	[ 9  3  0 10 18 19]	6	19
5	10	[ 9  3  0 10 18 19]	24	10
6	1	[ 0 12 14 21  2 20]	11	21
6	2	[ 0 12 14 21  2 20]	24	2
6	3	[ 0 12 14 21  2 20]	7	20
6	4	[ 0 12 14 21  2 20]	20	21
6	5	[ 0 12 14 21  2 20]	22	12
6	6	[ 0 12 14 21  2 20]	14	20
6	7	[ 0 12 14 21  2 20]	24	12
6	8	[ 0 12 14 21  2 20]	23	20
6	9	[ 0 12 14 21  2 20]	21	14
6	10	[ 0 12 14 21  2 20]	1	21
7	1	[13 16  1 22 10 23]	18	13
7	2	[13 16  1 22 10 23]	2	13
7	3	[13 16  1 22 10 23]	2	10
7	4	[13 16  1 22 10 23]	1	16
7	5	[13 16  1 22 10 23]	10	1
7	6	[13 16  1 22 10 23]	2	23
7	7	[13 16  1 22 10 23]	0	23
7	8	[13 16  1 22 10 23]	16	1
7	9	[13 16  1 22 10 23]	19	1
7	10	[13 16  1 22 10 23]	16	22
8	1	[18  3 11  2 20 19]	10	20
8	2	[18  3 11  2 20 19]	0	11
8	3	[18  3 11  2 20 19]	9	20
8	4	[18  3 11  2 20 19]	11	2
8	5	[18  3 11  2 20 19]	9	11
8	6	[18  3 11  2 20 19]	5	18
8	7	[18  3 11  2 20 19]	23	19
8	8	[18  3 11  2 20 19]	14	11
8	9	[18  3 11  2 20 19]	1	11
8	10	[18  3 11  2 20 19]	13	2
9	1	[ 2  8  1 17 24 14]	18	17
9	2	[ 2  8  1 17 24 14]	16	24
9	3	[ 2  8  1 17 24 14]	3	2
9	4	[ 2  8  1 17 24 14]	15	2
9	5	[ 2  8  1 17 24 14]	23	8
9	6	[ 2  8  1 17 24 14]	1	2
9	7	[ 2  8  1 17 24 14]	19	1
9	8	[ 2  8  1 17 24 14]	4	2
9	9	[ 2  8  1 17 24 14]	16	8
9	10	[ 2  8  1 17 24 14]	9	17
10	1	[24 19 23  9 15 11]	9	11
10	2	[24 19 23  9 15 11]	20	9
10	3	[24 19 23  9 15 11]	2	11
10	4	[24 19 23  9 15 11]	13	9
10	5	[24 19 23  9 15 11]	15	9
10	6	[24 19 23  9 15 11]	4	23
10	7	[24 19 23  9 15 11]	21	24
10	8	[24 19 23  9 15 11]	22	11
10	9	[24 19 23  9 15 11]	14	24
10	10	[24 19 23  9 15 11]	10	19
11	1	[ 8  2  6 13  9  4]	11	4
11	2	[ 8  2  6 13  9  4]	12	2
11	3	[ 8  2  6 13  9  4]	12	2
11	4	[ 8  2  6 13  9  4]	11	8
11	5	[ 8  2  6 13  9  4]	14	9
11	6	[ 8  2  6 13  9  4]	21	6
11	7	[ 8  2  6 13  9  4]	15	8
11	8	[ 8  2  6 13  9  4]	23	13
11	9	[ 8  2  6 13  9  4]	8	4
11	10	[ 8  2  6 13  9  4]	18	6
12	1	[10  1 17 11 14 13]	19	14
12	2	[10  1 17 11 14 13]	1	14
12	3	[10  1 17 11 14 13]	7	17
12	4	[10  1 17 11 14 13]	10	17
12	5	[10  1 17 11 14 13]	2	13
12	6	[10  1 17 11 14 13]	0	11
12	7	[10  1 17 11 14 13]	11	17
12	8	[10  1 17 11 14 13]	10	1
12	9	[10  1 17 11 14 13]	19	13
12	10	[10  1 17 11 14 13]	2	10
13	1	[12 20  1  7 21  6]	1	6
13	2	[12 20  1  7 21  6]	13	12
13	3	[12 20  1  7 21  6]	6	7
13	4	[12 20  1  7 21  6]	1	6
13	5	[12 20  1  7 21  6]	6	7
13	6	[12 20  1  7 21  6]	9	20
13	7	[12 20  1  7 21  6]	20	6
13	8	[12 20  1  7 21  6]	17	1
13	9	[12 20  1  7 21  6]	24	21
13	10	[12 20  1  7 21  6]	7	1
14	1	[ 5 14 12 24 16 20]	10	16
14	2	[ 5 14 12 24 16 20]	14	24
14	3	[ 5 14 12 24 16 20]	14	24
14	4	[ 5 14 12 24 16 20]	11	20
14	5	[ 5 14 12 24 16 20]	17	5
14	6	[ 5 14 12 24 16 20]	17	20
14	7	[ 5 14 12 24 16 20]	24	14
14	8	[ 5 14 12 24 16 20]	11	5
14	9	[ 5 14 12 24 16 20]	1	24
14	10	[ 5 14 12 24 16 20]	15	14
15	1	[23  4 21 22 24  7]	12	21
15	2	[23  4 21 22 24  7]	13	22
15	3	[23  4 21 22 24  7]	24	23
15	4	[23  4 21 22 24  7]	11	7
15	5	[23  4 21 22 24  7]	14	7
15	6	[23  4 21 22 24  7]	9	4
15	7	[23  4 21 22 24  7]	15	7
15	8	[23  4 21 22 24  7]	21	22
15	9	[23  4 21 22 24  7]	0	22
15	10	[23  4 21 22 24  7]	13	23
16	1	[ 3  8 13 10  7 17]	10	17
16	2	[ 3  8 13 10  7 17]	17	13
16	3	[ 3  8 13 10  7 17]	11	10
16	4	[ 3  8 13 10  7 17]	15	10
16	5	[ 3  8 13 10  7 17]	23	17
16	6	[ 3  8 13 10  7 17]	2	7
16	7	[ 3  8 13 10  7 17]	9	7
16	8	[ 3  8 13 10  7 17]	8	17
16	9	[ 3  8 13 10  7 17]	6	8
16	10	[ 3  8 13 10  7 17]	22	17
17	1	[20 10 16  7 24  6]	8	6
17	2	[20 10 16  7 24  6]	5	20
17	3	[20 10 16  7 24  6]	21	20
17	4	[20 10 16  7 24  6]	16	7
17	5	[20 10 16  7 24  6]	7	16
17	6	[20 10 16  7 24  6]	15	20
17	7	[20 10 16  7 24  6]	17	20
17	8	[20 10 16  7 24  6]	24	10
17	9	[20 10 16  7 24  6]	7	6
17	10	[20 10 16  7 24  6]	7	16
18	1	[16 22 17  5 20  4]	0	16
18	2	[16 22 17  5 20  4]	18	5
18	3	[16 22 17  5 20  4]	2	17
18	4	[16 22 17  5 20  4]	7	20
18	5	[16 22 17  5 20  4]	22	4
18	6	[16 22 17  5 20  4]	18	5
18	7	[16 22 17  5 20  4]	1	20
18	8	[16 22 17  5 20  4]	17	20
18	9	[16 22 17  5 20  4]	24	4
18	10	[16 22 17  5 20  4]	9	16
19	1	[ 7  4  1  5 23 13]	21	23
19	2	[ 7  4  1  5 23 13]	21	1
19	3	[ 7  4  1  5 23 13]	23	7
19	4	[ 7  4  1  5 23 13]	24	5
19	5	[ 7  4  1  5 23 13]	18	23
19	6	[ 7  4  1  5 23 13]	15	7
19	7	[ 7  4  1  5 23 13]	19	4
19	8	[ 7  4  1  5 23 13]	10	5
19	9	[ 7  4  1  5 23 13]	5	23
19	10	[ 7  4  1  5 23 13]	13	7
20	1	[12 10 16 11  9 24]	15	9
20	2	[12 10 16 11  9 24]	5	24
20	3	[12 10 16 11  9 24]	18	24
20	4	[12 10 16 11  9 24]	18	10
20	5	[12 10 16 11  9 24]	9	24
20	6	[12 10 16 11  9 24]	9	10
20	7	[12 10 16 11  9 24]	7	11
20	8	[12 10 16 11  9 24]	4	9
20	9	[12 10 16 11  9 24]	9	11
20	10	[12 10 16 11  9 24]	20	12
21	1	[ 7 24  2 13  4 22]	22	4
21	2	[ 7 24  2 13  4 22]	20	24
21	3	[ 7 24  2 13  4 22]	15	13
21	4	[ 7 24  2 13  4 22]	22	24
21	5	[ 7 24  2 13  4 22]	4	22
21	6	[ 7 24  2 13  4 22]	14	2
21	7	[ 7 24  2 13  4 22]	9	13
21	8	[ 7 24  2 13  4 22]	4	24
21	9	[ 7 24  2 13  4 22]	10	24
21	10	[ 7 24  2 13  4 22]	11	13
22	1	[14 12 11  8 17 13]	1	8
22	2	[14 12 11  8 17 13]	19	14
22	3	[14 12 11  8 17 13]	3	14
22	4	[14 12 11  8 17 13]	3	8
22	5	[14 12 11  8 17 13]	12	11
22	6	[14 12 11  8 17 13]	19	11
22	7	[14 12 11  8 17 13]	0	12
22	8	[14 12 11  8 17 13]	24	8
22	9	[14 12 11  8 17 13]	8	14
22	10	[14 12 11  8 17 13]	21	11
23	1	[ 4  7  2 20 21 15]	6	20
23	2	[ 4  7  2 20 21 15]	19	2
23	3	[ 4  7  2 20 21 15]	20	15
23	4	[ 4  7  2 20 21 15]	15	2
23	5	[ 4  7  2 20 21 15]	21	2
23	6	[ 4  7  2 20 21 15]	8	15
23	7	[ 4  7  2 20 21 15]	16	2
23	8	[ 4  7  2 20 21 15]	2	20
23	9	[ 4  7  2 20 21 15]	16	21
23	10	[ 4  7  2 20 21 15]	12	4
24	1	[ 7 19 10  4 12 11]	0	12
24	2	[ 7 19 10  4 12 11]	1	11
24	3	[ 7 19 10  4 12 11]	3	7
24	4	[ 7 19 10  4 12 11]	23	11
24	5	[ 7 19 10  4 12 11]	2	11
24	6	[ 7 19 10  4 12 11]	13	11
24	7	[ 7 19 10  4 12 11]	13	19
24	8	[ 7 19 10  4 12 11]	14	7
24	9	[ 7 19 10  4 12 11]	13	4
24	10	[ 7 19 10  4 12 11]	19	4
25	1	[ 6  2 11 22 24 15]	14	6
25	2	[ 6  2 11 22 24 15]	0	6
25	3	[ 6  2 11 22 24 15]	23	6
25	4	[ 6  2 11 22 24 15]	15	11
25	5	[ 6  2 11 22 24 15]	3	11
25	6	[ 6  2 11 22 24 15]	9	11
25	7	[ 6  2 11 22 24 15]	7	11
25	8	[ 6  2 11 22 24 15]	22	11
25	9	[ 6  2 11 22 24 15]	9	15
25	10	[ 6  2 11 22 24 15]	2	24
26	1	[ 2 20 16 22 19  1]	10	16
26	2	[ 2 20 16 22 19  1]	5	20
26	3	[ 2 20 16 22 19  1]	15	16
26	4	[ 2 20 16 22 19  1]	8	22
26	5	[ 2 20 16 22 19  1]	5	1
26	6	[ 2 20 16 22 19  1]	20	2
26	7	[ 2 20 16 22 19  1]	2	20
26	8	[ 2 20 16 22 19  1]	1	16
26	9	[ 2 20 16 22 19  1]	23	22
26	10	[ 2 20 16 22 19  1]	10	19
27	1	[21 12  6 19 15  3]	15	12
27	2	[21 12  6 19 15  3]	17	6
27	3	[21 12  6 19 15  3]	5	3
27	4	[21 12  6 19 15  3]	0	15
27	5	[21 12  6 19 15  3]	14	19
27	6	[21 12  6 19 15  3]	11	15
27	7	[21 12  6 19 15  3]	13	3
27	8	[21 12  6 19 15  3]	13	15
27	9	[21 12  6 19 15  3]	22	15
27	10	[21 12  6 19 15  3]	10	15
28	1	[14  0 18 13  5  9]	21	18
28	2	[14  0 18 13  5  9]	5	0
28	3	[14  0 18 13  5  9]	13	18
28	4	[14  0 18 13  5  9]	4	18
28	5	[14  0 18 13  5  9]	13	5
28	6	[14  0 18 13  5  9]	16	13
28	7	[14  0 18 13  5  9]	9	18
28	8	[14  0 18 13  5  9]	9	18
28	9	[14  0 18 13  5  9]	23	0
28	10	[14  0 18 13  5  9]	2	14
29	1	[ 4 15  5  9 17 10]	16	17
29	2	[ 4 15  5  9 17 10]	24	15
29	3	[ 4 15  5  9 17 10]	17	5
29	4	[ 4 15  5  9 17 10]	7	9
29	5	[ 4 15  5  9 17 10]	21	15
29	6	[ 4 15  5  9 17 10]	14	5
29	7	[ 4 15  5  9 17 10]	19	10
29	8	[ 4 15  5  9 17 10]	8	15
29	9	[ 4 15  5  9 17 10]	16	9
29	10	[ 4 15  5  9 17 10]	17	9
30	1	[14  2  3  8 24 22]	4	8
30	2	[14  2  3  8 24 22]	9	24
30	3	[14  2  3  8 24 22]	6	22
30	4	[14  2  3  8 24 22]	7	3
30	5	[14  2  3  8 24 22]	18	2
30	6	[14  2  3  8 24 22]	16	24
30	7	[14  2  3  8 24 22]	17	22
30	8	[14  2  3  8 24 22]	6	22
30	9	[14  2  3  8 24 22]	12	3
30	10	[14  2  3  8 24 22]	4	2
31	1	[ 2 22 11  6  7 24]	3	7
31	2	[ 2 22 11  6  7 24]	0	24
31	3	[ 2 22 11  6  7 24]	12	24
31	4	[ 2 22 11  6  7 24]	18	6
31	5	[ 2 22 11  6  7 24]	13	22
31	6	[ 2 22 11  6  7 24]	22	2
31	7	[ 2 22 11  6  7 24]	6	11
31	8	[ 2 22 11  6  7 24]	21	6
31	9	[ 2 22 11  6  7 24]	23	24
31	10	[ 2 22 11  6  7 24]	20	24
32	1	[ 1  4  9 17 18 20]	22	17
32	2	[ 1  4  9 17 18 20]	22	9
32	3	[ 1  4  9 17 18 20]	24	4
32	4	[ 1  4  9 17 18 20]	24	17
32	5	[ 1  4  9 17 18 20]	2	4
32	6	[ 1  4  9 17 18 20]	19	1
32	7	[ 1  4  9 17 18 20]	18	1
32	8	[ 1  4  9 17 18 20]	11	9
32	9	[ 1  4  9 17 18 20]	21	17
32	10	[ 1  4  9 17 18 20]	12	18
33	1	[20 12 18 11  6  1]	13	12
33	2	[20 12 18 11  6  1]	9	1
33	3	[20 12 18 11  6  1]	3	1
33	4	[20 12 18 11  6  1]	3	1
33	5	[20 12 18 11  6  1]	3	20
33	6	[20 12 18 11  6  1]	24	1
33	7	[20 12 18 11  6  1]	14	20
33	8	[20 12 18 11  6  1]	2	20
33	9	[20 12 18 11  6  1]	15	1
33	10	[20 12 18 11  6  1]	11	12
34	1	[ 3 24 10 15 22  0]	7	0
34	2	[ 3 24 10 15 22  0]	17	3
34	3	[ 3 24 10 15 22  0]	8	0
34	4	[ 3 24 10 15 22  0]	13	22
34	5	[ 3 24 10 15 22  0]	14	10
34	6	[ 3 24 10 15 22  0]	6	24
34	7	[ 3 24 10 15 22  0]	23	10
34	8	[ 3 24 10 15 22  0]	11	0
34	9	[ 3 24 10 15 22  0]	17	0
34	10	[ 3 24 10 15 22  0]	20	15
35	1	[ 7 16 15  6 17 12]	21	15
35	2	[ 7 16 15  6 17 12]	17	12
35	3	[ 7 16 15  6 17 12]	0	16
35	4	[ 7 16 15  6 17 12]	5	16
35	5	[ 7 16 15  6 17 12]	13	7
35	6	[ 7 16 15  6 17 12]	20	16
35	7	[ 7 16 15  6 17 12]	16	7
35	8	[ 7 16 15  6 17 12]	19	12
35	9	[ 7 16 15  6 17 12]	10	16
35	10	[ 7 16 15  6 17 12]	0	12
36	1	[ 6 15 22 18 20 19]	22	19
36	2	[ 6 15 22 18 20 19]	21	15
36	3	[ 6 15 22 18 20 19]	13	6
36	4	[ 6 15 22 18 20 19]	22	6
36	5	[ 6 15 22 18 20 19]	11	18
36	6	[ 6 15 22 18 20 19]	24	18
36	7	[ 6 15 22 18 20 19]	10	20
36	8	[ 6 15 22 18 20 19]	23	15
36	9	[ 6 15 22 18 20 19]	2	22
36	10	[ 6 15 22 18 20 19]	15	19
37	1	[12  8  4 17 15 14]	3	17
37	2	[12  8  4 17 15 14]	3	4
37	3	[12  8  4 17 15 14]	21	14
37	4	[12  8  4 17 15 14]	10	4
37	5	[12  8  4 17 15 14]	15	14
37	6	[12  8  4 17 15 14]	1	12
37	7	[12  8  4 17 15 14]	12	15
37	8	[12  8  4 17 15 14]	4	12
37	9	[12  8  4 17 15 14]	21	4
37	10	[12  8  4 17 15 14]	7	14
38	1	[ 5  8 10 22 12 24]	19	22
38	2	[ 5  8 10 22 12 24]	4	5
38	3	[ 5  8 10 22 12 24]	6	24
38	4	[ 5  8 10 22 12 24]	22	12
38	5	[ 5  8 10 22 12 24]	11	10
38	6	[ 5  8 10 22 12 24]	0	12
38	7	[ 5  8 10 22 12 24]	24	8
38	8	[ 5  8 10 22 12 24]	8	22
38	9	[ 5  8 10 22 12 24]	4	8
38	10	[ 5  8 10 22 12 24]	13	5
39	1	[ 4  6  8 12 20  5]	17	6
39	2	[ 4  6  8 12 20  5]	15	20
39	3	[ 4  6  8 12 20  5]	22	12
39	4	[ 4  6  8 12 20  5]	6	8
39	5	[ 4  6  8 12 20  5]	1	20
39	6	[ 4  6  8 12 20  5]	11	12
39	7	[ 4  6  8 12 20  5]	10	6
39	8	[ 4  6  8 12 20  5]	10	5
39	9	[ 4  6  8 12 20  5]	8	6
39	10	[ 4  6  8 12 20  5]	24	6
40	1	[20 15 14 10  7  8]	19	14
40	2	[20 15 14 10  7  8]	10	14
40	3	[20 15 14 10  7  8]	18	20
40	4	[20 15 14 10  7  8]	3	8
40	5	[20 15 14 10  7  8]	0	14
40	6	[20 15 14 10  7  8]	10	8
40	7	[20 15 14 10  7  8]	7	10
40	8	[20 15 14 10  7  8]	16	10
40	9	[20 15 14 10  7  8]	17	15
40	10	[20 15 14 10  7  8]	13	14
41	1	[ 3 16  0  9 10 18]	16	10
41	2	[ 3 16  0  9 10 18]	4	16
41	3	[ 3 16  0  9 10 18]	10	16
41	4	[ 3 16  0  9 10 18]	1	3
41	5	[ 3 16  0  9 10 18]	16	10
41	6	[ 3 16  0  9 10 18]	15	10
41	7	[ 3 16  0  9 10 18]	15	10
41	8	[ 3 16  0  9 10 18]	8	10
41	9	[ 3 16  0  9 10 18]	12	9
41	10	[ 3 16  0  9 10 18]	6	16
42	1	[ 2  5 17  9 19 10]	9	2
42	2	[ 2  5 17  9 19 10]	11	10
42	3	[ 2  5 17  9 19 10]	14	9
42	4	[ 2  5 17  9 19 10]	21	2
42	5	[ 2  5 17  9 19 10]	7	19
42	6	[ 2  5 17  9 19 10]	24	17
42	7	[ 2  5 17  9 19 10]	2	17
42	8	[ 2  5 17  9 19 10]	2	10
42	9	[ 2  5 17  9 19 10]	16	17
42	10	[ 2  5 17  9 19 10]	14	17
43	1	[1 0 3 7 6 8]	6	0
43	2	[1 0 3 7 6 8]	17	6
43	3	[1 0 3 7 6 8]	14	7
43	4	[1 0 3 7 6 8]	5	0
43	5	[1 0 3 7 6 8]	2	7
43	6	[1 0 3 7 6 8]	5	0
43	7	[1 0 3 7 6 8]	13	6
43	8	[1 0 3 7 6 8]	15	8
43	9	[1 0 3 7 6 8]	0	1
43	10	[1 0 3 7 6 8]	20	3
44	1	[ 1 17 13 18 19 12]	24	1
44	2	[ 1 17 13 18 19 12]	3	13
44	3	[ 1 17 13 18 19 12]	9	18
44	4	[ 1 17 13 18 19 12]	18	1
44	5	[ 1 17 13 18 19 12]	11	12
44	6	[ 1 17 13 18 19 12]	2	13
44	7	[ 1 17 13 18 19 12]	10	17
44	8	[ 1 17 13 18 19 12]	13	1
44	9	[ 1 17 13 18 19 12]	14	18
44	10	[ 1 17 13 18 19 12]	3	12
45	1	[10 11  5 15 16  6]	7	6
45	2	[10 11  5 15 16  6]	21	6
45	3	[10 11  5 15 16  6]	1	16
45	4	[10 11  5 15 16  6]	7	10
45	5	[10 11  5 15 16  6]	18	11
45	6	[10 11  5 15 16  6]	20	11
45	7	[10 11  5 15 16  6]	7	15
45	8	[10 11  5 15 16  6]	14	6
45	9	[10 11  5 15 16  6]	0	6
45	10	[10 11  5 15 16  6]	22	10
46	1	[16 15  0 24  5 20]	5	20
46	2	[16 15  0 24  5 20]	14	15
46	3	[16 15  0 24  5 20]	16	0
46	4	[16 15  0 24  5 20]	19	0
46	5	[16 15  0 24  5 20]	20	0
46	6	[16 15  0 24  5 20]	15	16
46	7	[16 15  0 24  5 20]	5	16
46	8	[16 15  0 24  5 20]	16	15
46	9	[16 15  0 24  5 20]	15	16
46	10	[16 15  0 24  5 20]	8	5
47	1	[18 19 11  0  7  4]	3	19
47	2	[18 19 11  0  7  4]	17	18
47	3	[18 19 11  0  7  4]	5	18
47	4	[18 19 11  0  7  4]	21	0
47	5	[18 19 11  0  7  4]	18	19
47	6	[18 19 11  0  7  4]	20	19
47	7	[18 19 11  0  7  4]	21	11
47	8	[18 19 11  0  7  4]	4	11
47	9	[18 19 11  0  7  4]	8	7
47	10	[18 19 11  0  7  4]	10	19
48	1	[10  2  1 24  9 18]	12	24
48	2	[10  2  1 24  9 18]	24	18
48	3	[10  2  1 24  9 18]	7	24
48	4	[10  2  1 24  9 18]	10	1
48	5	[10  2  1 24  9 18]	9	18
48	6	[10  2  1 24  9 18]	24	9
48	7	[10  2  1 24  9 18]	13	10
48	8	[10  2  1 24  9 18]	18	2
48	9	[10  2  1 24  9 18]	17	24
48	10	[10  2  1 24  9 18]	8	24
49	1	[13 20 15  6 24  9]	16	9
49	2	[13 20 15  6 24  9]	16	20
49	3	[13 20 15  6 24  9]	12	24
49	4	[13 20 15  6 24  9]	6	13
49	5	[13 20 15  6 24  9]	7	20
49	6	[13 20 15  6 24  9]	1	20
49	7	[13 20 15  6 24  9]	8	20
49	8	[13 20 15  6 24  9]	6	13
49	9	[13 20 15  6 24  9]	10	9
49	10	[13 20 15  6 24  9]	3	9
50	1	[ 4  7 23 21 17  6]	14	17
50	2	[ 4  7 23 21 17  6]	16	6
50	3	[ 4  7 23 21 17  6]	15	4
50	4	[ 4  7 23 21 17  6]	24	21
50	5	[ 4  7 23 21 17  6]	19	21
50	6	[ 4  7 23 21 17  6]	7	23
50	7	[ 4  7 23 21 17  6]	24	4
50	8	[ 4  7 23 21 17  6]	19	4
50	9	[ 4  7 23 21 17  6]	21	6
50	10	[ 4  7 23 21 17  6]	7	21
51	1	[ 3  6  1 17 10 22]	10	1
51	2	[ 3  6  1 17 10 22]	3	10
51	3	[ 3  6  1 17 10 22]	3	22
51	4	[ 3  6  1 17 10 22]	4	3
51	5	[ 3  6  1 17 10 22]	22	3
51	6	[ 3  6  1 17 10 22]	8	10
51	7	[ 3  6  1 17 10 22]	11	3
51	8	[ 3  6  1 17 10 22]	17	10
51	9	[ 3  6  1 17 10 22]	5	10
51	10	[ 3  6  1 17 10 22]	20	3
52	1	[12  9  2 15 23 13]	0	13
52	2	[12  9  2 15 23 13]	4	15
52	3	[12  9  2 15 23 13]	22	2
52	4	[12  9  2 15 23 13]	7	23
52	5	[12  9  2 15 23 13]	19	2
52	6	[12  9  2 15 23 13]	0	9
52	7	[12  9  2 15 23 13]	19	9
52	8	[12  9  2 15 23 13]	0	9
52	9	[12  9  2 15 23 13]	5	13
52	10	[12  9  2 15 23 13]	22	13
53	1	[ 3 14  0  2 11  6]	8	11
53	2	[ 3 14  0  2 11  6]	13	3
53	3	[ 3 14  0  2 11  6]	22	3
53	4	[ 3 14  0  2 11  6]	21	14
53	5	[ 3 14  0  2 11  6]	12	14
53	6	[ 3 14  0  2 11  6]	9	2
53	7	[ 3 14  0  2 11  6]	14	0
53	8	[ 3 14  0  2 11  6]	4	11
53	9	[ 3 14  0  2 11  6]	3	6
53	10	[ 3 14  0  2 11  6]	5	0
54	1	[ 9 22  8 13 21 18]	7	22
54	2	[ 9 22  8 13 21 18]	13	9
54	3	[ 9 22  8 13 21 18]	23	9
54	4	[ 9 22  8 13 21 18]	19	18
54	5	[ 9 22  8 13 21 18]	14	13
54	6	[ 9 22  8 13 21 18]	15	21
54	7	[ 9 22  8 13 21 18]	13	18
54	8	[ 9 22  8 13 21 18]	17	8
54	9	[ 9 22  8 13 21 18]	11	13
54	10	[ 9 22  8 13 21 18]	7	18
55	1	[13  7  1  9  5 10]	5	7
55	2	[13  7  1  9  5 10]	23	7
55	3	[13  7  1  9  5 10]	18	5
55	4	[13  7  1  9  5 10]	11	7
55	5	[13  7  1  9  5 10]	23	5
55	6	[13  7  1  9  5 10]	23	1
55	7	[13  7  1  9  5 10]	24	9
55	8	[13  7  1  9  5 10]	23	5
55	9	[13  7  1  9  5 10]	21	10
55	10	[13  7  1  9  5 10]	20	13
56	1	[ 3 24 19  7  4 12]	17	12
56	2	[ 3 24 19  7  4 12]	21	7
56	3	[ 3 24 19  7  4 12]	24	7
56	4	[ 3 24 19  7  4 12]	13	19
56	5	[ 3 24 19  7  4 12]	7	4
56	6	[ 3 24 19  7  4 12]	3	19
56	7	[ 3 24 19  7  4 12]	13	4
56	8	[ 3 24 19  7  4 12]	13	4
56	9	[ 3 24 19  7  4 12]	15	12
56	10	[ 3 24 19  7  4 12]	3	12
57	1	[ 6 21  7 12  0 22]	14	6
57	2	[ 6 21  7 12  0 22]	9	21
57	3	[ 6 21  7 12  0 22]	4	7
57	4	[ 6 21  7 12  0 22]	22	0
57	5	[ 6 21  7 12  0 22]	12	6
57	6	[ 6 21  7 12  0 22]	11	12
57	7	[ 6 21  7 12  0 22]	4	6
57	8	[ 6 21  7 12  0 22]	14	12
57	9	[ 6 21  7 12  0 22]	16	6
57	10	[ 6 21  7 12  0 22]	7	6
58	1	[16 13  4 12 21  5]	21	13
58	2	[16 13  4 12 21  5]	1	21
58	3	[16 13  4 12 21  5]	11	12
58	4	[16 13  4 12 21  5]	9	13
58	5	[16 13  4 12 21  5]	8	13
58	6	[16 13  4 12 21  5]	2	13
58	7	[16 13  4 12 21  5]	18	21
58	8	[16 13  4 12 21  5]	6	4
58	9	[16 13  4 12 21  5]	6	4
58	10	[16 13  4 12 21  5]	0	21
59	1	[ 6  2 12 20  0 23]	14	6
59	2	[ 6  2 12 20  0 23]	15	12
59	3	[ 6  2 12 20  0 23]	24	0
59	4	[ 6  2 12 20  0 23]	9	0
59	5	[ 6  2 12 20  0 23]	21	6
59	6	[ 6  2 12 20  0 23]	11	12
59	7	[ 6  2 12 20  0 23]	14	23
59	8	[ 6  2 12 20  0 23]	11	12
59	9	[ 6  2 12 20  0 23]	13	23
59	10	[ 6  2 12 20  0 23]	19	23
60	1	[11  8  1 24 18 15]	1	8
60	2	[11  8  1 24 18 15]	4	11
60	3	[11  8  1 24 18 15]	13	8
60	4	[11  8  1 24 18 15]	22	15
60	5	[11  8  1 24 18 15]	8	18
60	6	[11  8  1 24 18 15]	17	24
60	7	[11  8  1 24 18 15]	9	18
