	sub_id	agent	tau_gen	lambda_gen	interrupted	duration	n_tr	n_tr_b1	n_tr_b2	n_tr_b3	mean_tr_over_blocks	std_tr_over_blocks	n_tr_r1	n_tr_r2	n_tr_r3	n_tr_r4	n_tr_r5	n_tr_r6	n_tr_r7	n_tr_r8	n_tr_r9	n_tr_r10	n_val_actions	n_val_blocks	n_val_rounds	n_drills	p_drills	mean_drills	std_drills	n_steps	p_steps	n_drills_b1	n_drills_b2	n_drills_b3	mean_drills_b1	mean_drills_b2	mean_drills_b3	n_steps_b1	n_steps_b2	n_steps_b3	n_drills_r01	n_drills_r02	n_drills_r03	n_drills_r04	n_drills_r05	n_drills_r06	n_drills_r07	n_drills_r08	n_drills_r09	n_drills_r10	n_steps_r01	n_steps_r02	n_steps_r03	n_steps_r04	n_steps_r05	n_steps_r06	n_steps_r07	n_steps_r08	n_steps_r09	n_steps_r10	n_tr_giv_hides_0	n_tr_giv_hides_1	p_tr_giv_hides_0	p_tr_giv_hides_1	p_unv_if_drill	p_unv_if_step	p_visible_hide_giv_0.0_tr_disc	p_visible_hide_giv_1.0_tr_disc	n_tr_giv_hides_2	p_tr_giv_hides_2	n_tr_giv_hides_3	p_tr_giv_hides_3	n_tr_giv_hides_4	n_tr_giv_hides_5	p_tr_giv_hides_4	p_tr_giv_hides_5	n_tr_giv_hides_6	p_tr_giv_hides_6
10	A1_rep-1_tau-00_lambda-nan_part-42	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
11	A1_rep-1_tau-00_lambda-nan_part-43	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
12	A1_rep-1_tau-00_lambda-nan_part-44	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13	A1_rep-1_tau-00_lambda-nan_part-45	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
14	A1_rep-1_tau-00_lambda-nan_part-47	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
15	A1_rep-1_tau-00_lambda-nan_part-48	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
16	A1_rep-1_tau-00_lambda-nan_part-5	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
17	A1_rep-1_tau-00_lambda-nan_part-6	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
18	A1_rep-1_tau-00_lambda-nan_part-8	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19	A1_rep-1_tau-00_lambda-nan_part-9	A1	0.0	n/a	0	n/a	17.0	8.0	4.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	3.0	266	3	30	8	0.03007518796992481	0.03007518796992481	0.170794235963918	258	0.9699248120300752	0	4	4	0.0	0.04	0.04878048780487805	84	96	78	0	0	0	0	0	1	3	3	1	0	29	26	26	17	32	30	19	27	34	18	16.0	1.0	0.06374501992031872	0.06666666666666667	1.625	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
20	A1_rep-1_tau-100_lambda-nan_part-1	A1	0.1	n/a	0	n/a	12.0	3.0	4.0	5.0	4.0	0.816496580927726	1.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	2.0	2.0	286	3	30	32	0.11188811188811189	0.11188811188811189	0.31522874600236767	254	0.8881118881118881	12	9	11	0.11428571428571428	0.09183673469387756	0.13253012048192772	93	89	72	5	4	3	1	5	5	3	3	3	0	22	23	28	28	30	26	33	20	26	18	4.0	7.0	0.04819277108433735	0.04430379746835443	1.34375	n/a	0.27586206896551724	0.25	1.0	0.022222222222222223	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
21	A1_rep-1_tau-100_lambda-nan_part-10	A1	0.1	n/a	0	n/a	11.0	2.0	7.0	2.0	3.6666666666666665	2.3570226039551585	0.0	1.0	2.0	0.0	1.0	1.0	1.0	2.0	1.0	2.0	301	3	30	31	0.10299003322259136	0.10299003322259136	0.3039458607703038	270	0.8970099667774086	14	6	11	0.1308411214953271	0.06666666666666667	0.10576923076923077	93	84	93	6	4	1	5	4	1	4	1	5	0	30	28	25	31	27	29	31	20	27	22	1.0	7.0	0.01694915254237288	0.041916167664670656	1.1612903225806452	n/a	0.1774193548387097	0.2727272727272727	3.0	0.04	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
22	A1_rep-1_tau-100_lambda-nan_part-14	A1	0.1	n/a	0	n/a	15.0	4.0	6.0	5.0	5.0	0.816496580927726	2.0	2.0	0.0	2.0	0.0	2.0	2.0	2.0	1.0	2.0	266	3	30	27	0.10150375939849623	0.10150375939849623	0.3019946129096816	239	0.8984962406015038	10	9	8	0.10416666666666667	0.1111111111111111	0.0898876404494382	86	72	81	3	0	5	5	5	2	2	3	2	0	11	22	31	27	31	22	18	23	28	26	11.0	4.0	0.05851063829787234	0.08163265306122448	0.7777777777777778	n/a	0.09859154929577464	0.06666666666666667	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
23	A1_rep-1_tau-100_lambda-nan_part-16	A1	0.1	n/a	0	n/a	13.0	4.0	4.0	5.0	4.333333333333333	0.4714045207910317	1.0	1.0	3.0	2.0	1.0	0.0	1.0	0.0	1.0	3.0	279	3	30	34	0.12186379928315412	0.12186379928315412	0.3271284361033587	245	0.8781362007168458	12	11	11	0.11650485436893204	0.12222222222222222	0.12790697674418605	91	79	75	7	8	6	1	2	3	1	1	5	0	19	19	13	27	28	33	28	35	21	22	0.0	6.0	0.0	0.0759493670886076	1.5	n/a	0.43548387096774194	0.5384615384615384	7.0	0.04	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
24	A1_rep-1_tau-100_lambda-nan_part-17	A1	0.1	n/a	0	n/a	16.0	4.0	7.0	5.0	5.333333333333333	1.247219128924647	3.0	1.0	1.0	3.0	1.0	2.0	0.0	1.0	1.0	3.0	252	3	30	29	0.11507936507936507	0.11507936507936507	0.3191176974288566	223	0.8849206349206349	7	11	11	0.07954545454545454	0.14473684210526316	0.125	81	65	77	6	1	3	2	5	3	4	1	4	0	12	30	27	11	31	17	32	29	26	8	7.0	8.0	0.06422018348623854	0.06060606060606061	1.3793103448275863	n/a	0.19117647058823528	0.1875	1.0	0.09090909090909091	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25	A1_rep-1_tau-100_lambda-nan_part-19	A1	0.1	n/a	0	n/a	19.0	7.0	6.0	6.0	6.333333333333333	0.4714045207910317	2.0	1.0	3.0	2.0	2.0	2.0	1.0	2.0	1.0	3.0	226	3	30	16	0.07079646017699115	0.07079646017699115	0.25648454418034405	210	0.9292035398230089	7	4	5	0.0945945945945946	0.0547945205479452	0.06329113924050633	67	69	74	1	5	1	0	1	1	2	1	4	0	17	22	21	22	30	20	25	21	22	10	11.0	7.0	0.08088235294117647	0.10144927536231885	0.625	n/a	0.17333333333333334	0.15789473684210525	0.0	0.0	1.0	0.125	n/a	n/a	n/a	n/a	n/a	n/a
26	A1_rep-1_tau-100_lambda-nan_part-20	A1	0.1	n/a	0	n/a	14.0	5.0	4.0	5.0	4.666666666666667	0.4714045207910317	1.0	1.0	2.0	3.0	0.0	2.0	1.0	1.0	0.0	3.0	263	3	30	42	0.1596958174904943	0.1596958174904943	0.36632371390143037	221	0.8403041825095057	17	11	14	0.17894736842105263	0.12941176470588237	0.1686746987951807	78	74	69	6	3	4	2	5	3	5	7	7	0	19	24	23	17	31	21	22	23	29	12	5.0	5.0	0.04424778761061947	0.05952380952380952	1.2142857142857142	n/a	0.19298245614035087	0.21428571428571427	1.0	0.037037037037037035	3.0	0.07692307692307693	n/a	n/a	n/a	n/a	n/a	n/a
27	A1_rep-1_tau-100_lambda-nan_part-21	A1	0.1	n/a	0	n/a	11.0	5.0	2.0	4.0	3.6666666666666665	1.247219128924647	2.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	2.0	299	3	30	32	0.10702341137123746	0.10702341137123746	0.3091430102552868	267	0.8929765886287625	9	13	10	0.09473684210526316	0.11711711711711711	0.10752688172043011	86	98	83	2	5	2	3	7	4	3	2	4	0	22	19	34	23	29	27	26	34	26	27	7.0	0.0	0.03017241379310345	0.0	1.03125	n/a	0.18333333333333332	0.18181818181818182	4.0	0.0851063829787234	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
28	A1_rep-1_tau-100_lambda-nan_part-28	A1	0.1	n/a	0	n/a	9.0	3.0	2.0	4.0	3.0	0.816496580927726	2.0	2.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0	299	3	30	43	0.14381270903010032	0.14381270903010032	0.3508997203639867	256	0.8561872909698997	15	15	13	0.14423076923076922	0.13636363636363635	0.15294117647058825	89	95	72	7	3	4	4	5	8	3	3	6	0	18	22	32	16	31	28	33	26	23	27	6.0	2.0	0.03409090909090909	0.02197802197802198	1.302325581395349	n/a	0.2631578947368421	0.3333333333333333	1.0	0.03125	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29	A1_rep-1_tau-100_lambda-nan_part-36	A1	0.1	n/a	0	n/a	16.0	3.0	7.0	6.0	5.333333333333333	1.699673171197595	0.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	3.0	1.0	268	3	30	35	0.13059701492537312	0.13059701492537312	0.3369590993250591	233	0.8694029850746269	12	11	12	0.11650485436893204	0.1527777777777778	0.12903225806451613	91	61	81	7	8	2	3	3	1	6	1	4	0	29	21	18	28	31	22	25	18	16	25	11.0	5.0	0.062146892655367235	0.054945054945054944	1.1714285714285715	n/a	0.08333333333333333	0.125	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
30	A1_rep-1_tau-100_lambda-nan_part-38	A1	0.1	n/a	0	n/a	14.0	4.0	7.0	3.0	4.666666666666667	1.699673171197595	1.0	0.0	1.0	1.0	1.0	2.0	3.0	2.0	2.0	1.0	270	3	30	37	0.13703703703703704	0.13703703703703704	0.3438864456723276	233	0.8629629629629629	11	9	17	0.125	0.11392405063291139	0.1650485436893204	77	70	86	3	9	5	3	5	5	2	4	1	0	22	27	20	26	25	26	22	21	19	25	9.0	5.0	0.0379746835443038	0.15151515151515152	0.8378378378378378	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31	A1_rep-1_tau-100_lambda-nan_part-39	A1	0.1	n/a	0	n/a	14.0	4.0	5.0	5.0	4.666666666666667	0.4714045207910317	1.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	263	3	30	26	0.09885931558935361	0.09885931558935361	0.2984730328028953	237	0.9011406844106464	10	11	5	0.09900990099009901	0.13924050632911392	0.060240963855421686	91	68	78	2	6	4	3	1	1	6	2	1	0	23	21	23	28	32	20	21	28	25	16	4.0	4.0	0.04878048780487805	0.04	1.3461538461538463	n/a	0.19298245614035087	0.35714285714285715	6.0	0.07407407407407407	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
32	A1_rep-1_tau-100_lambda-nan_part-45	A1	0.1	n/a	0	n/a	13.0	2.0	6.0	5.0	4.333333333333333	1.699673171197595	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	2.0	290	3	30	43	0.1482758620689655	0.1482758620689655	0.3553732274618765	247	0.8517241379310345	19	15	9	0.17117117117117117	0.17857142857142858	0.09473684210526316	92	69	86	5	6	8	6	8	3	3	3	1	0	31	23	23	26	27	23	30	21	25	18	5.0	0.0	0.032467532467532464	0.0	1.2093023255813953	n/a	0.1643835616438356	0.23076923076923078	8.0	0.15384615384615385	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
33	A1_rep-1_tau-100_lambda-nan_part-47	A1	0.1	n/a	0	n/a	13.0	4.0	5.0	4.0	4.333333333333333	0.4714045207910317	1.0	0.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	3.0	274	3	30	25	0.09124087591240876	0.09124087591240876	0.2879513474098449	249	0.9087591240875912	6	9	10	0.06382978723404255	0.1125	0.1	88	71	90	3	6	4	3	2	2	2	2	1	0	31	30	23	22	23	26	18	26	30	20	2.0	7.0	0.028169014084507043	0.04895104895104895	0.8	n/a	0.3157894736842105	0.3076923076923077	4.0	0.06666666666666667	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
34	A1_rep-1_tau-100_lambda-nan_part-48	A1	0.1	n/a	0	n/a	11.0	2.0	4.0	5.0	3.6666666666666665	1.247219128924647	2.0	1.0	1.0	3.0	0.0	2.0	0.0	1.0	0.0	1.0	292	3	30	38	0.13013698630136986	0.13013698630136986	0.3364540846798668	254	0.8698630136986302	17	11	10	0.14655172413793102	0.12087912087912088	0.11764705882352941	99	80	75	3	5	3	1	6	6	6	1	7	0	22	23	31	15	30	16	30	27	29	31	7.0	4.0	0.05	0.030303030303030304	1.1842105263157894	n/a	0.33962264150943394	0.18181818181818182	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35	A1_rep-1_tau-100_lambda-nan_part-5	A1	0.1	n/a	0	n/a	12.0	6.0	6.0	0.0	4.0	2.8284271247461903	1.0	1.0	1.0	1.0	0.0	2.0	2.0	1.0	1.0	2.0	292	3	30	32	0.1095890410958904	0.1095890410958904	0.31237682879428436	260	0.8904109589041096	6	9	17	0.06896551724137931	0.10588235294117647	0.14166666666666666	81	76	103	6	2	5	8	3	4	0	2	2	0	19	33	30	24	33	18	26	28	30	19	1.0	6.0	0.09090909090909091	0.025423728813559324	1.5625	n/a	0.421875	0.4166666666666667	0.0	0.0	5.0	0.11904761904761904	n/a	n/a	n/a	n/a	n/a	n/a
36	A1_rep-1_tau-100_lambda-nan_part-6	A1	0.1	n/a	0	n/a	12.0	4.0	2.0	6.0	4.0	1.632993161855452	1.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	3.0	293	3	30	27	0.09215017064846416	0.09215017064846416	0.2892378203104205	266	0.9078498293515358	11	9	7	0.10891089108910891	0.09090909090909091	0.07526881720430108	90	90	86	4	6	1	3	0	5	3	2	3	0	22	27	30	31	30	31	24	28	23	20	0.0	7.0	0.0	0.056	1.1481481481481481	n/a	0.27692307692307694	0.25	5.0	0.056818181818181816	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37	A1_rep-1_tau-100_lambda-nan_part-9	A1	0.1	n/a	0	n/a	13.0	4.0	4.0	5.0	4.333333333333333	0.4714045207910317	2.0	1.0	1.0	2.0	0.0	1.0	2.0	1.0	1.0	2.0	281	3	30	38	0.13523131672597866	0.13523131672597866	0.34197047782306694	243	0.8647686832740213	13	13	12	0.1326530612244898	0.13541666666666666	0.13793103448275862	85	83	75	1	2	4	4	9	6	8	1	3	0	13	27	28	23	27	28	22	27	30	18	4.0	4.0	0.034482758620689655	0.035398230088495575	1.4736842105263157	n/a	0.34375	0.3076923076923077	5.0	0.09615384615384616	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
38	A1_rep-1_tau-125_lambda-nan_part-10	A1	0.125	n/a	0	n/a	9.0	2.0	6.0	1.0	3.0	2.160246899469287	1.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	1.0	2.0	300	3	30	38	0.12666666666666668	0.12666666666666668	0.33259919155377127	262	0.8733333333333333	16	9	13	0.14414414414414414	0.12162162162162163	0.11304347826086956	95	65	102	9	10	2	1	3	5	4	4	0	0	21	26	33	27	33	23	32	24	26	17	1.0	3.0	0.03125	0.02097902097902098	1.3421052631578947	n/a	0.3076923076923077	0.3333333333333333	5.0	0.04	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
