	sub_id	agent	tau_gen	lambda_gen	interrupted	duration	n_tr	n_tr_b1	n_tr_b2	n_tr_b3	mean_tr_over_blocks	std_tr_over_blocks	n_tr_r1	n_tr_r2	n_tr_r3	n_tr_r4	n_tr_r5	n_tr_r6	n_tr_r7	n_tr_r8	n_tr_r9	n_tr_r10	n_val_actions	n_val_blocks	n_val_rounds	n_drills	p_drills	mean_drills	std_drills	n_steps	p_steps	n_drills_b1	n_drills_b2	n_drills_b3	mean_drills_b1	mean_drills_b2	mean_drills_b3	n_steps_b1	n_steps_b2	n_steps_b3	n_drills_r01	n_drills_r02	n_drills_r03	n_drills_r04	n_drills_r05	n_drills_r06	n_drills_r07	n_drills_r08	n_drills_r09	n_drills_r10	n_steps_r01	n_steps_r02	n_steps_r03	n_steps_r04	n_steps_r05	n_steps_r06	n_steps_r07	n_steps_r08	n_steps_r09	n_steps_r10	n_tr_giv_hides_0	n_tr_giv_hides_1	n_tr_giv_hides_2	n_tr_giv_hides_3	p_tr_giv_hides_0	p_tr_giv_hides_1	p_tr_giv_hides_2	p_tr_giv_hides_3	p_unv_if_drill	p_unv_if_step	p_visible_hide_giv_0.0_tr_disc	p_visible_hide_giv_1.0_tr_disc	n_tr_giv_hides_4	n_tr_giv_hides_5	p_tr_giv_hides_4	p_tr_giv_hides_5	n_tr_giv_hides_6	p_tr_giv_hides_6
10	A1_rep-1_tau-1000_lambda-500_part-9	A1	1.0	0.5	0	n/a	5.0	1.0	2.0	2.0	1.6666666666666667	0.4714045207910317	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	332	3	30	61	0.18373493975903615	0.18373493975903615	0.3872678810213667	271	0.8162650602409639	24	20	17	0.20869565217391303	0.18518518518518517	0.1559633027522936	91	88	92	7	10	8	8	5	4	4	5	7	3	21	26	19	28	28	29	27	31	29	33	2.0	1.0	2.0	n/a	0.02247191011235955	0.007352941176470588	0.018691588785046728	n/a	1.3114754098360655	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a
11	A1_rep-1_tau-100_lambda-500_part-0	A1	0.1	0.5	0	n/a	15.0	6.0	4.0	5.0	5.0	0.816496580927726	2.0	1.0	2.0	2.0	2.0	1.0	1.0	0.0	1.0	3.0	264	3	30	31	0.11742424242424243	0.11742424242424243	0.32192513060544864	233	0.8825757575757576	14	10	7	0.15217391304347827	0.11627906976744186	0.08139534883720931	78	76	79	2	6	1	3	3	8	1	5	2	0	14	21	17	29	31	26	28	31	24	12	7.0	1.0	2.0	5.0	0.061946902654867256	0.016129032258064516	0.125	0.0684931506849315	0.967741935483871	n/a	0.4927536231884058	0.4	n/a	n/a	n/a	n/a	n/a	n/a
12	A1_rep-1_tau-100_lambda-500_part-1	A1	0.1	0.5	0	n/a	17.0	4.0	8.0	5.0	5.666666666666667	1.699673171197595	1.0	2.0	3.0	1.0	2.0	1.0	2.0	1.0	1.0	3.0	254	3	30	28	0.11023622047244094	0.11023622047244094	0.31318396537561166	226	0.889763779527559	11	7	10	0.1111111111111111	0.0958904109589041	0.12195121951219512	88	66	72	8	0	2	5	2	3	2	1	5	0	19	22	17	24	28	23	24	31	26	12	7.0	8.0	2.0	n/a	0.06140350877192982	0.0963855421686747	0.03508771929824561	n/a	0.9285714285714286	n/a	0.09876543209876543	0.11764705882352941	n/a	n/a	n/a	n/a	n/a	n/a
13	A1_rep-1_tau-100_lambda-500_part-10	A1	0.1	0.5	0	n/a	14.0	4.0	5.0	5.0	4.666666666666667	0.4714045207910317	3.0	1.0	1.0	3.0	0.0	2.0	1.0	2.0	0.0	1.0	269	3	30	36	0.13382899628252787	0.13382899628252787	0.34046849492506503	233	0.8661710037174721	12	13	11	0.12121212121212122	0.16455696202531644	0.12087912087912088	87	66	80	0	7	5	0	9	3	4	4	4	0	12	24	27	11	27	20	32	23	32	25	8.0	6.0	0.0	n/a	0.07339449541284404	0.046875	0.0	n/a	1.2777777777777777	n/a	0.0	0.07142857142857142	n/a	n/a	n/a	n/a	n/a	n/a
14	A1_rep-1_tau-100_lambda-500_part-2	A1	0.1	0.5	0	n/a	14.0	4.0	7.0	3.0	4.666666666666667	1.699673171197595	0.0	0.0	2.0	0.0	3.0	1.0	3.0	1.0	2.0	2.0	275	3	30	40	0.14545454545454545	0.14545454545454545	0.3525585350848239	235	0.8545454545454545	17	9	14	0.18681318681318682	0.10843373493975904	0.13861386138613863	74	74	87	6	8	4	5	5	4	0	5	3	0	30	28	22	31	17	23	20	25	22	17	3.0	2.0	4.0	5.0	0.02040816326530612	0.08	0.05263157894736842	0.18518518518518517	1.1	n/a	0.36231884057971014	0.35714285714285715	n/a	n/a	n/a	n/a	n/a	n/a
15	A1_rep-1_tau-100_lambda-500_part-3	A1	0.1	0.5	0	n/a	12.0	4.0	6.0	2.0	4.0	1.632993161855452	0.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	0.0	3.0	305	3	30	47	0.1540983606557377	0.1540983606557377	0.3610430111481898	258	0.8459016393442623	16	11	20	0.14414414414414414	0.12643678160919541	0.18691588785046728	95	76	87	9	6	6	4	5	6	2	4	5	0	27	27	27	24	31	20	27	26	31	18	1.0	5.0	2.0	4.0	0.017543859649122806	0.03571428571428571	0.07142857142857142	0.05	1.0425531914893618	n/a	0.6363636363636364	0.5833333333333334	n/a	n/a	n/a	n/a	n/a	n/a
16	A1_rep-1_tau-100_lambda-500_part-4	A1	0.1	0.5	0	n/a	13.0	2.0	6.0	5.0	4.333333333333333	1.699673171197595	1.0	2.0	1.0	2.0	0.0	1.0	0.0	2.0	2.0	2.0	273	3	30	32	0.11721611721611722	0.11721611721611722	0.3216776322358996	241	0.8827838827838828	13	11	8	0.11607142857142858	0.14473684210526316	0.09411764705882353	99	65	77	4	4	3	0	4	5	5	4	3	0	21	23	28	18	32	22	31	25	21	20	4.0	5.0	1.0	3.0	0.043010752688172046	0.03289473684210526	0.07142857142857142	0.21428571428571427	1.28125	n/a	0.44642857142857145	0.38461538461538464	n/a	n/a	n/a	n/a	n/a	n/a
17	A1_rep-1_tau-100_lambda-500_part-5	A1	0.1	0.5	0	n/a	14.0	3.0	5.0	6.0	4.666666666666667	1.247219128924647	1.0	1.0	3.0	1.0	2.0	1.0	0.0	2.0	1.0	2.0	287	3	30	39	0.13588850174216027	0.13588850174216027	0.34267012831064103	248	0.8641114982578397	9	12	18	0.08411214953271028	0.13636363636363635	0.1956521739130435	98	76	74	6	4	0	7	3	7	7	3	2	0	29	24	23	23	25	22	29	22	24	27	2.0	8.0	4.0	n/a	0.024691358024691357	0.04938271604938271	0.09090909090909091	n/a	1.1025641025641026	n/a	0.25925925925925924	0.2857142857142857	n/a	n/a	n/a	n/a	n/a	n/a
18	A1_rep-1_tau-100_lambda-500_part-6	A1	0.1	0.5	0	n/a	10.0	4.0	4.0	2.0	3.3333333333333335	0.9428090415820634	1.0	0.0	1.0	2.0	0.0	2.0	1.0	2.0	0.0	1.0	289	3	30	33	0.11418685121107267	0.11418685121107267	0.31803807039656906	256	0.8858131487889274	8	12	13	0.0851063829787234	0.14814814814814814	0.11403508771929824	86	69	101	2	6	3	5	4	1	9	0	3	0	23	30	27	18	32	17	23	28	33	25	2.0	3.0	5.0	n/a	0.03571428571428571	0.028037383177570093	0.03968253968253968	n/a	1.2424242424242424	n/a	0.28205128205128205	0.4	n/a	n/a	n/a	n/a	n/a	n/a
19	A1_rep-1_tau-100_lambda-500_part-7	A1	0.1	0.5	0	n/a	6.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	1.0	1.0	322	3	30	34	0.10559006211180125	0.10559006211180125	0.3073122205429312	288	0.8944099378881988	12	10	12	0.10909090909090909	0.09259259259259259	0.11538461538461539	98	98	92	7	11	2	2	2	2	2	4	2	0	29	25	34	18	25	29	34	32	27	35	1.0	2.0	3.0	n/a	0.006896551724137931	0.03773584905660377	0.024193548387096774	n/a	1.2058823529411764	n/a	0.6428571428571429	0.6666666666666666	n/a	n/a	n/a	n/a	n/a	n/a
20	A1_rep-1_tau-100_lambda-500_part-8	A1	0.1	0.5	0	n/a	13.0	4.0	5.0	4.0	4.333333333333333	0.4714045207910317	1.0	0.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	269	3	30	34	0.12639405204460966	0.12639405204460966	0.33229293650686315	235	0.8736059479553904	15	5	14	0.1744186046511628	0.06097560975609756	0.13861386138613863	71	77	87	3	7	5	2	4	7	3	1	2	0	22	29	20	27	22	21	29	31	17	17	2.0	6.0	2.0	3.0	0.029850746268656716	0.06521739130434782	0.030303030303030304	0.06818181818181818	1.588235294117647	n/a	0.8076923076923077	0.6153846153846154	n/a	n/a	n/a	n/a	n/a	n/a
21	A1_rep-1_tau-100_lambda-500_part-9	A1	0.1	0.5	0	n/a	18.0	4.0	6.0	8.0	6.0	1.632993161855452	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	241	3	30	25	0.1037344398340249	0.1037344398340249	0.30491573561616325	216	0.8962655601659751	7	16	2	0.07368421052631578	0.20512820512820512	0.029411764705882353	88	62	66	8	2	3	1	4	1	1	2	3	0	10	18	28	29	23	19	21	22	20	26	2.0	11.0	5.0	n/a	0.06060606060606061	0.059782608695652176	0.20833333333333334	n/a	1.24	n/a	0.20253164556962025	0.2222222222222222	n/a	n/a	n/a	n/a	n/a	n/a
22	A1_rep-1_tau-1100_lambda-500_part-0	A1	1.1	0.5	0	n/a	8.0	6.0	1.0	1.0	2.6666666666666665	2.3570226039551585	2.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	316	3	30	54	0.17088607594936708	0.17088607594936708	0.3764093848404875	262	0.8291139240506329	12	26	16	0.1411764705882353	0.2222222222222222	0.14035087719298245	73	91	98	5	5	5	9	1	7	3	8	9	2	15	31	22	27	29	29	33	24	27	25	5.0	0.0	0.0	2.0	0.06666666666666667	0.0	0.0	0.021052631578947368	1.1481481481481481	n/a	0.29545454545454547	0.25	0.0	1.0	0.0	0.021739130434782608	n/a	n/a
23	A1_rep-1_tau-1100_lambda-500_part-1	A1	1.1	0.5	0	n/a	4.0	1.0	3.0	0.0	1.3333333333333333	1.247219128924647	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	329	3	30	72	0.2188449848024316	0.2188449848024316	0.41346324797889245	257	0.7811550151975684	25	22	25	0.22522522522522523	0.22448979591836735	0.20833333333333334	86	76	95	3	8	4	4	14	6	9	9	12	3	24	28	32	27	22	24	27	27	24	22	1.0	0.0	2.0	1.0	0.007692307692307693	0.0	0.02531645569620253	0.015873015873015872	1.5972222222222223	n/a	0.8461538461538461	0.5	n/a	n/a	n/a	n/a	n/a	n/a
24	A1_rep-1_tau-1100_lambda-500_part-10	A1	1.1	0.5	0	n/a	6.0	1.0	4.0	1.0	2.0	1.4142135623730951	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	330	3	30	65	0.19696969696969696	0.19696969696969696	0.39770923480020265	265	0.803030303030303	26	20	19	0.2222222222222222	0.20202020202020202	0.16666666666666666	91	79	95	7	7	5	12	7	5	6	8	4	4	23	26	21	24	23	31	30	26	29	32	2.0	2.0	0.0	2.0	0.03571428571428571	0.013071895424836602	0.0	0.02857142857142857	1.3076923076923077	n/a	0.6111111111111112	0.5	n/a	n/a	n/a	n/a	n/a	n/a
25	A1_rep-1_tau-1100_lambda-500_part-2	A1	1.1	0.5	0	n/a	8.0	1.0	5.0	2.0	2.6666666666666665	1.699673171197595	1.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	2.0	1.0	300	3	30	63	0.21	0.21	0.4073082370883261	237	0.79	18	16	29	0.16363636363636364	0.1951219512195122	0.26851851851851855	92	66	79	7	10	9	3	3	4	9	10	7	1	19	26	27	33	20	22	27	22	17	24	1.0	5.0	2.0	n/a	0.006802721088435374	0.125	0.017699115044247787	n/a	1.3650793650793651	n/a	0.35714285714285715	0.25	n/a	n/a	n/a	n/a	n/a	n/a
26	A1_rep-1_tau-1100_lambda-500_part-3	A1	1.1	0.5	0	n/a	6.0	0.0	4.0	2.0	2.0	1.632993161855452	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	316	3	30	72	0.22784810126582278	0.22784810126582278	0.4194440892602757	244	0.7721518987341772	31	16	25	0.25833333333333336	0.1839080459770115	0.22935779816513763	89	71	84	15	5	7	3	9	14	4	7	5	3	21	31	18	22	25	22	32	28	21	24	4.0	0.0	1.0	0.0	0.032520325203252036	0.0	0.043478260869565216	0.0	1.5972222222222223	n/a	0.09090909090909091	0.16666666666666666	0.0	1.0	0.0	0.027777777777777776	n/a	n/a
27	A1_rep-1_tau-1100_lambda-500_part-4	A1	1.1	0.5	0	n/a	5.0	1.0	3.0	1.0	1.6666666666666667	0.9428090415820634	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	334	3	30	81	0.24251497005988024	0.24251497005988024	0.42860408229126284	253	0.7574850299401198	22	23	36	0.19298245614035087	0.23	0.3	92	77	84	11	8	9	6	9	10	9	9	8	2	25	22	27	30	26	26	27	19	28	23	1.0	0.0	0.0	2.0	0.029411764705882353	0.0	0.0	0.034482758620689655	1.4197530864197532	n/a	0.10344827586206896	0.2	2.0	n/a	0.024390243902439025	n/a	n/a	n/a
28	A1_rep-1_tau-1100_lambda-500_part-5	A1	1.1	0.5	0	n/a	7.0	0.0	4.0	3.0	2.3333333333333335	1.699673171197595	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	2.0	306	3	30	68	0.2222222222222222	0.2222222222222222	0.41573970964154905	238	0.7777777777777778	31	22	15	0.25833333333333336	0.25287356321839083	0.15151515151515152	89	65	84	11	11	8	2	9	3	6	5	13	0	13	25	28	23	27	23	29	31	23	16	2.0	3.0	2.0	0.0	0.03508771929824561	0.02727272727272727	0.0273972602739726	0.0	1.4852941176470589	n/a	0.5217391304347826	0.42857142857142855	0.0	0.0	0.0	0.0	n/a	n/a
29	A1_rep-1_tau-1100_lambda-500_part-6	A1	1.1	0.5	0	n/a	5.0	1.0	1.0	3.0	1.6666666666666667	0.9428090415820634	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	325	3	30	66	0.20307692307692307	0.20307692307692307	0.4022893068309578	259	0.796923076923077	22	19	25	0.2018348623853211	0.1743119266055046	0.2336448598130841	87	90	82	4	6	8	11	2	7	8	7	9	4	14	30	17	25	28	29	28	29	27	32	2.0	2.0	0.0	1.0	0.022222222222222223	0.02	0.0	0.04	1.3333333333333333	n/a	0.0	0.0	0.0	n/a	0.0	n/a	n/a	n/a
30	A1_rep-1_tau-1100_lambda-500_part-7	A1	1.1	0.5	0	n/a	9.0	4.0	4.0	1.0	3.0	1.4142135623730951	1.0	3.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	317	3	30	65	0.20504731861198738	0.20504731861198738	0.4037361957293667	252	0.7949526813880127	22	21	22	0.2	0.22580645161290322	0.19298245614035087	88	72	92	8	7	5	9	2	9	8	8	6	3	25	17	20	26	34	27	23	28	30	22	5.0	2.0	2.0	n/a	0.05	0.03225806451612903	0.012903225806451613	n/a	1.6153846153846154	n/a	0.0	0.1111111111111111	n/a	n/a	n/a	n/a	n/a	n/a
31	A1_rep-1_tau-1100_lambda-500_part-8	A1	1.1	0.5	0	n/a	8.0	0.0	5.0	3.0	2.6666666666666665	2.0548046676563256	2.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	295	3	30	66	0.22372881355932203	0.22372881355932203	0.4167424043010984	229	0.7762711864406779	27	17	22	0.225	0.20238095238095238	0.24175824175824176	93	67	69	4	8	8	9	4	7	12	4	4	6	16	28	17	16	23	21	24	32	22	30	6.0	1.0	1.0	0.0	0.05405405405405406	0.013888888888888888	0.023809523809523808	0.0	1.5757575757575757	n/a	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a
32	A1_rep-1_tau-1100_lambda-500_part-9	A1	1.1	0.5	0	n/a	7.0	2.0	3.0	2.0	2.3333333333333335	0.4714045207910317	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	3.0	312	3	30	70	0.22435897435897437	0.22435897435897437	0.41715947188522934	242	0.7756410256410257	24	19	27	0.22018348623853212	0.18811881188118812	0.2647058823529412	85	82	75	6	12	8	9	10	6	7	3	9	0	21	24	28	27	26	22	22	33	19	20	1.0	1.0	2.0	2.0	0.007042253521126761	0.03225806451612903	0.04878048780487805	0.04	1.4285714285714286	n/a	0.41379310344827586	0.42857142857142855	0.0	1.0	0.0	0.030303030303030304	n/a	n/a
33	A1_rep-1_tau-1200_lambda-500_part-0	A1	1.2	0.5	0	n/a	5.0	2.0	2.0	1.0	1.6666666666666667	0.4714045207910317	1.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	325	3	30	73	0.2246153846153846	0.2246153846153846	0.41732878358611625	252	0.7753846153846153	18	26	29	0.17647058823529413	0.2524271844660194	0.24166666666666667	84	77	91	4	10	1	5	9	6	14	8	10	6	21	26	17	31	27	24	22	28	26	30	1.0	3.0	0.0	1.0	0.03333333333333333	0.019867549668874173	0.0	0.015151515151515152	1.3835616438356164	n/a	0.55	0.2	0.0	n/a	0.0	n/a	n/a	n/a
34	A1_rep-1_tau-1200_lambda-500_part-1	A1	1.2	0.5	0	n/a	7.0	1.0	3.0	3.0	2.3333333333333335	0.9428090415820634	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	307	3	30	53	0.17263843648208468	0.17263843648208468	0.3779343947447836	254	0.8273615635179153	22	13	18	0.18333333333333332	0.13829787234042554	0.1935483870967742	98	81	75	2	5	6	5	10	7	5	8	4	1	23	17	19	31	26	29	31	28	24	26	1.0	4.0	1.0	1.0	0.025	0.04	0.008264462809917356	0.021739130434782608	1.1886792452830188	n/a	0.0	0.0	n/a	n/a	n/a	n/a	n/a	n/a
35	A1_rep-1_tau-1200_lambda-500_part-10	A1	1.2	0.5	0	n/a	10.0	3.0	5.0	2.0	3.3333333333333335	1.247219128924647	1.0	1.0	2.0	0.0	0.0	1.0	1.0	2.0	0.0	2.0	289	3	30	77	0.2664359861591695	0.2664359861591695	0.4420948443926488	212	0.7335640138408305	25	24	28	0.25510204081632654	0.2823529411764706	0.2641509433962264	73	61	78	9	9	3	16	8	11	7	8	5	1	16	25	18	20	28	15	28	16	31	15	1.0	5.0	4.0	n/a	0.024390243902439025	0.049019607843137254	0.0273972602739726	n/a	1.7142857142857142	n/a	0.0	0.1	n/a	n/a	n/a	n/a	n/a	n/a
36	A1_rep-1_tau-1200_lambda-500_part-2	A1	1.2	0.5	0	n/a	5.0	2.0	1.0	2.0	1.6666666666666667	0.4714045207910317	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	335	3	30	60	0.1791044776119403	0.1791044776119403	0.3834397784676158	275	0.8208955223880597	10	26	24	0.09433962264150944	0.2222222222222222	0.21428571428571427	96	91	88	5	7	1	9	7	8	7	8	3	5	20	29	32	27	21	28	26	28	33	31	3.0	1.0	1.0	n/a	0.023809523809523808	0.011904761904761904	0.008	n/a	1.4833333333333334	n/a	0.1	0.2	n/a	n/a	n/a	n/a	n/a	n/a
